Date_Time,KCQT
2023-10-02 00:47:00,
2023-10-02 01:47:00,
2023-10-02 02:47:00,
2023-10-02 03:47:00,
2023-10-02 04:47:00,60.98
2023-10-02 05:47:00,
2023-10-02 06:47:00,
2023-10-02 07:47:00,
2023-10-02 08:47:00,
2023-10-02 09:47:00,
2023-10-02 10:47:00,69.98
2023-10-02 11:47:00,
2023-10-02 12:47:00,
2023-10-02 13:47:00,
2023-10-02 14:47:00,
2023-10-02 15:47:00,
2023-10-02 16:47:00,73.04
2023-10-02 17:47:00,
2023-10-02 18:47:00,
2023-10-02 19:47:00,
2023-10-02 20:47:00,
2023-10-02 21:47:00,
2023-10-02 22:47:00,69.08
2023-10-02 23:47:00,
2023-10-03 00:47:00,
2023-10-03 01:47:00,
2023-10-03 02:47:00,
2023-10-03 03:47:00,
2023-10-03 04:47:00,62.96
2023-10-03 05:47:00,
2023-10-03 07:47:00,
2023-10-03 08:47:00,
2023-10-03 09:47:00,
2023-10-03 10:47:00,78.08
2023-10-03 11:47:00,
2023-10-03 12:47:00,
2023-10-03 13:47:00,
2023-10-03 14:47:00,
2023-10-03 15:47:00,
2023-10-03 16:47:00,82.04
2023-10-03 17:47:00,
2023-10-03 18:47:00,
2023-10-03 19:47:00,
2023-10-03 20:47:00,
2023-10-03 21:47:00,
2023-10-03 22:47:00,75.92
2023-10-03 23:47:00,
2023-10-04 00:47:00,
2023-10-04 01:47:00,
2023-10-04 02:47:00,
2023-10-04 03:47:00,
2023-10-04 04:47:00,66.92
2023-10-04 05:47:00,
2023-10-04 06:47:00,
2023-10-04 07:47:00,
2023-10-04 08:47:00,
2023-10-04 09:47:00,
2023-10-04 10:47:00,84.02
2023-10-04 11:47:00,
2023-10-04 12:47:00,
2023-10-04 13:47:00,
2023-10-04 14:47:00,
2023-10-04 15:47:00,
2023-10-04 16:47:00,86.0
2023-10-04 17:47:00,
2023-10-04 18:47:00,
2023-10-04 19:47:00,
2023-10-04 20:47:00,
2023-10-04 21:47:00,
2023-10-04 22:47:00,82.94
2023-10-04 23:47:00,
2023-10-05 00:47:00,
2023-10-05 01:47:00,
2023-10-05 02:47:00,
2023-10-05 03:47:00,
2023-10-05 04:47:00,71.06
2023-10-05 05:47:00,
2023-10-05 06:47:00,
2023-10-05 07:28:00,
2023-10-05 07:38:00,
2023-10-05 07:47:00,
2023-10-05 08:47:00,
2023-10-05 09:47:00,
2023-10-05 10:47:00,91.04
2023-10-05 11:47:00,
2023-10-05 12:47:00,
2023-10-05 13:47:00,
2023-10-05 14:47:00,
2023-10-05 15:47:00,
2023-10-05 16:47:00,96.08
2023-10-05 17:47:00,
2023-10-05 18:47:00,
2023-10-05 19:47:00,
2023-10-05 20:47:00,
2023-10-05 21:47:00,
2023-10-05 22:47:00,86.0
2023-10-05 23:47:00,
2023-10-06 00:47:00,
2023-10-06 01:47:00,
2023-10-06 02:47:00,
2023-10-06 03:47:00,
2023-10-06 04:47:00,71.96
2023-10-06 05:47:00,
2023-10-06 06:47:00,
2023-10-06 07:47:00,
2023-10-06 08:47:00,
2023-10-06 09:47:00,
2023-10-06 10:47:00,89.96
2023-10-06 11:47:00,
2023-10-06 12:47:00,
2023-10-06 13:47:00,
2023-10-06 14:47:00,
2023-10-06 15:47:00,
2023-10-06 16:47:00,93.02
2023-10-06 17:47:00,
2023-10-06 18:47:00,
2023-10-06 19:47:00,
2023-10-06 20:47:00,
2023-10-06 21:47:00,
2023-10-06 22:47:00,86.0
2023-10-06 23:47:00,
2023-10-07 00:47:00,
2023-10-07 01:47:00,
2023-10-07 02:47:00,
2023-10-07 03:47:00,
2023-10-07 04:47:00,73.04
2023-10-07 05:47:00,
2023-10-07 06:47:00,
2023-10-07 07:47:00,
2023-10-07 08:47:00,
2023-10-07 09:47:00,
2023-10-07 10:47:00,80.06
2023-10-07 11:19:00,
2023-10-07 11:27:00,
2023-10-07 11:47:00,
2023-10-07 12:47:00,
2023-10-07 13:47:00,
2023-10-07 14:47:00,
2023-10-07 15:47:00,
2023-10-07 16:47:00,89.06
2023-10-07 17:47:00,
2023-10-07 18:47:00,
2023-10-07 19:47:00,
2023-10-07 20:47:00,
2023-10-07 21:47:00,
2023-10-07 22:47:00,82.94
2023-10-07 23:47:00,
2023-10-08 00:47:00,
2023-10-08 01:47:00,
2023-10-08 02:47:00,
2023-10-08 03:47:00,
2023-10-08 04:47:00,69.08
2023-10-08 05:47:00,
2023-10-08 06:47:00,
2023-10-08 07:47:00,
2023-10-08 08:47:00,
2023-10-08 09:47:00,
2023-10-08 10:47:00,75.92
2023-10-08 11:47:00,
2023-10-08 12:47:00,
2023-10-08 13:47:00,
2023-10-08 14:47:00,
2023-10-08 15:47:00,
2023-10-08 16:47:00,80.96
2023-10-08 17:47:00,
2023-10-08 18:47:00,
2023-10-08 18:58:00,
2023-10-08 19:21:00,
2023-10-08 19:29:00,
2023-10-08 19:47:00,
2023-10-08 20:47:00,
2023-10-08 21:47:00,
2023-10-08 22:41:00,
2023-10-08 22:47:00,73.94
2023-10-08 22:57:00,
2023-10-08 23:14:00,
2023-10-08 23:47:00,
2023-10-08 23:54:00,
2023-10-09 00:04:00,
2023-10-09 00:47:00,
2023-10-09 01:47:00,
2023-10-09 02:36:00,
2023-10-09 02:47:00,
2023-10-09 03:25:00,
2023-10-09 03:47:00,
2023-10-09 04:47:00,64.04
2023-10-09 05:26:00,
2023-10-09 05:47:00,
2023-10-09 06:47:00,
2023-10-09 06:53:00,
2023-10-09 07:16:00,
2023-10-09 07:44:00,
2023-10-09 07:47:00,
2023-10-09 08:47:00,
2023-10-09 09:38:00,
2023-10-09 09:47:00,
2023-10-09 10:02:00,
2023-10-09 10:47:00,73.04
2023-10-09 11:47:00,
2023-10-09 12:47:00,
2023-10-09 13:47:00,
2023-10-09 14:47:00,
2023-10-09 15:47:00,
2023-10-09 16:47:00,78.08
2023-10-09 17:47:00,
2023-10-09 18:47:00,
2023-10-09 19:47:00,
2023-10-09 20:47:00,
2023-10-09 21:47:00,
2023-10-09 22:47:00,71.06
2023-10-09 23:47:00,
2023-10-10 00:02:00,
2023-10-10 00:06:00,
2023-10-10 00:47:00,
2023-10-10 01:47:00,
2023-10-10 02:47:00,
2023-10-10 03:47:00,
2023-10-10 04:47:00,64.04
2023-10-10 05:25:00,
2023-10-10 05:34:00,
2023-10-10 05:47:00,
2023-10-10 06:08:00,
2023-10-10 06:47:00,
2023-10-10 07:47:00,
2023-10-10 08:30:00,
2023-10-10 08:47:00,
2023-10-10 09:47:00,
2023-10-10 10:40:00,
2023-10-10 10:47:00,71.96
2023-10-10 11:09:00,
2023-10-10 11:19:00,
2023-10-10 11:32:00,
2023-10-10 11:38:00,
2023-10-10 11:47:00,
2023-10-10 12:47:00,
2023-10-10 13:47:00,
2023-10-10 14:47:00,
2023-10-10 15:47:00,
2023-10-10 16:47:00,75.92
2023-10-10 17:47:00,
2023-10-10 18:47:00,
2023-10-10 19:47:00,
2023-10-10 20:47:00,
2023-10-10 21:47:00,
2023-10-10 22:47:00,71.96
2023-10-10 22:58:00,
2023-10-10 23:47:00,